H;penstroke-edit;2;caveat_edit_subset fixing.cdr;464;564;0
G;0;0000;hash
S;3;0;159.18;313.80
S;3;0;157.34;311.43
S;3;0;155.54;309.04
S;3;0;153.76;306.62
S;3;0;152.01;304.19
S;3;0;150.30;301.73
S;3;0;148.62;299.24
S;3;0;146.98;296.73
S;3;0;145.38;294.20
S;3;0;143.82;291.64
S;3;0;142.31;289.05
S;3;0;140.85;286.43
S;3;0;139.43;283.79
S;3;0;138.07;281.12
S;3;0;136.76;278.42
S;3;0;135.51;275.70
S;3;0;134.32;272.95
S;3;0;133.20;270.17
S;3;0;132.14;267.36
S;3;0;131.16;264.53
S;3;0;130.24;261.68
S;3;0;129.40;258.80
S;3;0;128.73;255.88
S;3;0;128.25;252.92
