H;penstroke-edit;2;caveat_edit fixing.cdr;464;564;0
G;0;0000;a
S;4;0;159.79;317.22
S;4;0;162.20;315.43
S;4;0;164.44;313.44
S;4;0;166.50;311.26
S;4;0;168.35;308.90
S;4;0;170.00;306.39
S;4;0;171.40;303.74
S;4;0;172.55;300.97
S;4;0;173.41;298.10
S;4;0;173.96;295.15
S;4;0;174.14;292.16
S;4;0;173.93;289.17
S;4;0;173.29;286.24
S;4;0;172.18;283.46
S;4;0;170.62;280.90
S;4;0;168.66;278.63
S;4;0;166.36;276.71
S;4;0;163.80;275.15
S;4;0;161.07;273.91
S;4;0;158.22;272.98
S;4;0;155.29;272.32
S;4;0;152.31;271.98
S;4;0;149.31;271.98
S;4;0;146.33;272.30
S;4;0;143.40;272.93
S;4;0;140.54;273.84
S;4;0;137.78;275.00
S;4;0;135.11;276.37
S;4;0;132.55;277.93
S;4;0;130.09;279.65
S;4;0;127.73;281.51
S;4;0;125.47;283.48
S;4;0;123.31;285.55
S;4;0;121.23;287.72
S;4;0;119.24;289.96
S;4;0;117.33;292.28
S;4;0;115.49;294.65
S;4;0;113.74;297.08
S;4;0;112.05;299.56
S;4;0;110.43;302.09
S;4;0;108.88;304.65
S;4;0;107.39;307.26
S;4;0;105.97;309.90
S;4;0;104.61;312.57
S;4;0;103.31;315.28
S;4;0;102.07;318.01
S;4;0;100.90;320.77
S;4;0;99.79;323.56
S;4;0;98.74;326.37
S;4;0;97.76;329.21
S;4;0;96.84;332.06
S;4;0;96.00;334.94
S;4;0;95.23;337.84
S;4;0;94.53;340.76
S;4;0;93.91;343.70
S;4;0;93.39;346.65
S;4;0;92.96;349.62
S;4;0;92.63;352.60
S;4;0;92.41;355.59
S;4;0;92.33;358.59
S;4;0;92.39;361.59
S;4;0;92.62;364.58
S;4;0;93.05;367.55
S;4;0;93.71;370.47
S;4;0;94.65;373.32
S;4;0;95.85;376.07
S;4;0;97.27;378.71
S;4;0;98.94;381.20
S;4;0;100.85;383.51
S;4;0;103.00;385.60
S;4;0;105.38;387.44
S;4;0;107.94;388.99
S;4;0;110.66;390.25
S;4;0;113.50;391.21
S;4;0;116.43;391.88
S;4;0;119.40;392.27
S;4;0;122.40;392.40
S;4;0;125.40;392.29
S;4;0;128.38;391.96
S;4;0;131.33;391.43
S;4;0;134.24;390.70
S;4;0;137.10;389.79
S;4;0;139.90;388.71
S;4;0;142.63;387.48
S;4;0;145.29;386.09
S;4;0;147.86;384.54
S;4;0;150.34;382.86
S;4;0;152.72;381.03
S;4;0;154.98;379.06
S;4;0;157.11;376.95
S;4;0;159.09;374.70
S;4;0;160.91;372.31
G;5;0000;f
S;5;1;110.78;291.65
S;5;1;113.62;292.41
S;5;1;116.50;292.99
S;5;1;119.41;293.41
S;5;1;122.34;293.69
S;5;1;125.28;293.84
S;5;1;128.22;293.89
S;5;1;131.16;293.85
S;5;1;134.10;293.71
S;5;1;137.03;293.51
S;5;1;139.96;293.23
S;5;1;142.88;292.90
S;5;1;145.80;292.51
S;5;1;148.71;292.07
S;5;1;151.61;291.59
S;5;1;154.50;291.07
S;5;1;157.39;290.51
S;5;1;160.27;289.91
S;5;1;163.15;289.29
S;5;1;166.02;288.65
S;5;1;168.88;287.98
S;5;0;205.83;203.82
S;5;0;207.22;201.15
S;5;0;208.57;198.46
S;5;0;209.86;195.74
S;5;0;211.07;192.98
S;5;0;212.14;190.16
S;5;0;213.01;187.28
S;5;0;213.60;184.33
S;5;0;213.78;181.33
S;5;0;213.42;178.34
S;5;0;212.43;175.50
S;5;0;210.85;172.95
S;5;0;208.79;170.75
S;5;0;206.43;168.89
S;5;0;203.87;167.31
S;5;0;201.18;165.96
S;5;0;198.33;165.00
S;5;0;195.34;164.62
S;5;0;192.34;164.80
S;5;0;189.41;165.46
S;5;0;186.58;166.50
S;5;0;183.88;167.83
S;5;0;181.31;169.39
S;5;0;178.84;171.12
S;5;0;176.48;172.98
S;5;0;174.21;174.96
